127.0.0.1 - - [07/Jan/2021:13:26:58 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/ HTTP/1.1" 200 72477
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/plugins/animate.css HTTP/1.1" 200 57094
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 117305
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/css/footers/footer-v4.css HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/css/shop.style.css HTTP/1.1" 200 37673
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/css/headers/header-v5.css HTTP/1.1" 200 21200
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/plugins/line-icons/line-icons.css HTTP/1.1" 200 11032
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/plugins/revolution-slider/rs-plugin/css/settings.css HTTP/1.1" 200 73697
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/css/theme-colors/default.css HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/plugins/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/plugins/scrollbar/css/jquery.mCustomScrollbar.css HTTP/1.1" 200 53655
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/css/custom.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/css/app.css HTTP/1.1" 200 64731
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/css/plugins/style-switcher.css HTTP/1.1" 200 3465
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/plugins/owl-carousel/owl-carousel/owl.carousel.css HTTP/1.1" 200 5921
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/css/shop.plugins.css HTTP/1.1" 200 3201
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/plugins/jquery/jquery.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/css/shop.blocks.css HTTP/1.1" 200 5976
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/plugins/back-to-top.js HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/plugins/jquery.parallax.js HTTP/1.1" 200 1770
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/plugins/smoothScroll.js HTTP/1.1" 200 14224
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/plugins/owl-carousel/owl-carousel/owl.carousel.js HTTP/1.1" 200 37908
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/plugins/revolution-slider/rs-plugin/js/jquery.themepunch.tools.min.js HTTP/1.1" 200 98511
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/plugins/revolution-slider/rs-plugin/js/jquery.themepunch.revolution.min.js HTTP/1.1" 200 113138
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/plugins/jquery/jquery-migrate.min.js HTTP/1.1" 200 7199
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/plugins/scrollbar/js/jquery.mCustomScrollbar.concat.min.js HTTP/1.1" 200 39193
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/js/custom.js HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/img/logo.png HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/img/blog/01.jpg HTTP/1.1" 200 55588
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/js/plugins/revolution-slider.js HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/js/plugins/owl-carousel.js HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/img/3.jpg HTTP/1.1" 200 515417
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/img/5.jpg HTTP/1.1" 200 2080555
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:07 +0700] "GET /UNIFY/view/client/static/img/1.jpg HTTP/1.1" 200 1311999
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:08 +0700] "GET /UNIFY/view/client/static/js/shop.app.js HTTP/1.1" 200 3824
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:08 +0700] "GET /UNIFY/view/client/static/img/blog/02.jpg HTTP/1.1" 200 46469
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:08 +0700] "GET /UNIFY/view/client/static/plugins/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 65452
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:08 +0700] "GET /UNIFY/view/client/static/plugins/line-icons/fonts/Simple-Line-Icons.woff HTTP/1.1" 200 59324
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:08 +0700] "GET /UNIFY/view/client/static/img/2.jpg HTTP/1.1" 200 525252
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:08 +0700] "GET /UNIFY/view/client/static/img/blog/07.jpg HTTP/1.1" 200 87410
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:08 +0700] "GET /UNIFY/image?fname= HTTP/1.1" 500 1467
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:08 +0700] "GET /UNIFY/view/client/static/img/blog/08.jpg HTTP/1.1" 200 90882
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:08 +0700] "GET /UNIFY/view/client/static/img/4.jpg HTTP/1.1" 200 883842
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:08 +0700] "GET /UNIFY/image?fname=1608718053997.png HTTP/1.1" 200 31016
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:09 +0700] "GET /UNIFY/image?fname=1608718035142.png HTTP/1.1" 200 36607
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:09 +0700] "GET /UNIFY/view/client/static/plugins/revolution-slider/rs-plugin/assets/timer.png HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:09 +0700] "GET /UNIFY/view/client/static/img/blog/03.jpg HTTP/1.1" 200 44658
0:0:0:0:0:0:0:1 - - [07/Jan/2021:13:27:09 +0700] "GET /UNIFY/view/client/static/img/thumb/08.jpg HTTP/1.1" 200 7844
